sex,age,educ,income,married,race
0,55,3,8040,1,2
0,41,10,42370,1,2
0,19,10,0,0,4
1,42,13,400,1,1
0,36,3,0,1,2
1,82,11,0,1,1
1,27,11,16800,0,1
1,28,8,12200,0,4
0,36,13,65000,1,1
1,27,9,35000,0,2
1,71,6,19900,0,1
1,27,7,25500,0,2
1,27,11,2000,1,1
0,55,16,71000,1,1
0,36,9,11620,0,2
1,20,9,6700,1,4
1,53,10,60000,0,1
0,70,9,24000,1,1
0,21,12,19000,1,2
1,34,9,17000,1,2
0,25,11,53050,0,1
1,59,9,2500,1,2
1,30,13,16500,0,1
1,72,13,17300,0,3
1,88,1,7610,0,4
1,22,11,7800,1,3
1,21,9,6000,0,4
1,26,10,15000,1,2
0,23,7,15500,1,1
1,53,13,10000,0,1
1,53,10,27000,0,1
0,31,16,0,0,1
0,70,4,9600,1,1
1,47,12,45000,0,1
0,41,9,83470,1,1
1,25,13,48530,0,4
0,54,1,0,1,2
0,72,11,19400,0,1
0,71,9,0,1,4
0,19,8,14600,0,2
0,29,11,28000,1,2
1,68,13,10500,1,4
1,80,9,10600,0,2
1,38,14,40000,0,1
0,59,11,68810,1,1
0,32,2,8500,1,2
1,56,13,14700,1,4
1,19,9,4000,1,1
0,79,8,26500,0,1
1,50,11,47000,0,1
1,44,9,35000,0,3
1,45,9,81000,0,2
0,44,13,49920,1,2
1,61,3,6000,0,2
1,74,12,25700,0,1
0,40,11,0,1,1
1,55,15,9300,1,1
0,84,9,24100,1,1
1,36,2,0,1,2
1,26,11,15000,1,1
0,32,3,14400,1,3
1,37,5,6200,0,2
1,48,12,40000,1,3
0,77,13,16030,0,1
1,33,10,0,1,1
1,38,9,26000,0,1
0,49,13,251130,1,1
1,46,11,15200,1,1
1,78,13,42200,0,1
1,46,13,5700,0,1
1,40,9,26000,0,2
0,50,11,32600,1,1
0,21,8,25000,1,2
0,57,8,58000,0,3
0,36,1,16200,1,2
1,82,1,6000,0,4
0,40,8,22280,1,2
1,67,9,146000,0,1
0,30,8,6000,1,2
0,64,11,20000,1,4
0,64,9,47400,1,4
1,39,9,400,1,1
0,83,9,19280,1,1
0,93,9,27400,0,1
1,35,13,49060,0,1
0,58,13,75000,1,1
0,52,11,113200,1,2
0,33,2,15000,1,2
0,38,9,47000,0,1
1,78,9,2540,1,1
1,31,10,8000,1,3
0,41,1,0,1,4
1,59,9,15000,1,1
1,39,9,24400,1,1
0,49,13,27500,0,1
0,42,10,89000,1,1
0,30,9,33000,0,2
0,63,13,23440,1,1
1,66,5,4600,1,1
0,76,5,27630,1,4
0,79,2,5900,1,2
1,18,9,0,0,1
0,68,9,14000,0,1
0,22,11,20000,0,1
0,47,10,62000,1,1
0,72,11,21100,1,1
1,46,11,61000,1,4
0,60,16,110000,1,1
0,80,9,13300,1,1
1,36,10,88000,1,2
0,26,11,251710,0,1
0,18,9,1000,0,1
1,85,7,19200,1,1
1,45,9,14010,1,1
0,18,7,8500,0,2
0,42,1,17000,1,4
1,69,13,10200,1,1
1,24,9,30000,1,1
0,18,1,6000,0,2
0,64,11,24000,0,1
1,60,4,7700,0,2
1,25,9,0,1,2
1,47,1,22900,1,2
1,43,10,30000,0,1
0,51,12,26000,0,1
1,74,9,3000,1,1
1,28,8,900,0,2
1,36,1,17000,0,2
0,56,14,75000,1,1
1,51,11,53000,0,2
1,75,1,8800,0,2
1,20,9,26900,0,4
1,76,4,8400,0,2
0,22,9,4000,0,4
0,67,11,44540,1,1
1,37,10,0,0,1
0,29,12,40000,1,2
0,38,3,52000,1,4
1,19,9,0,1,1
0,55,12,46100,1,1
0,48,14,127000,1,4
0,43,13,43800,0,1
1,37,11,24000,1,1
0,47,7,8400,0,1
1,49,14,55000,0,1
0,28,11,32000,0,3
1,30,13,30000,1,1
0,41,13,40000,1,2
1,70,13,73200,0,1
1,87,7,10710,0,1
1,66,9,7200,0,1
0,44,3,40400,0,2
1,26,4,0,0,2
1,22,10,10600,0,2
1,47,9,11400,0,1
0,71,6,48440,0,1
0,38,13,0,1,2
1,19,11,400,0,2
0,64,8,10000,1,1
1,52,3,0,1,2
0,60,7,17850,1,1
0,64,13,161000,1,4
1,27,2,17000,0,2
1,67,11,33000,0,3
0,35,11,38200,1,2
0,21,9,0,0,4
0,51,9,9000,0,3
1,48,11,35010,0,1
0,34,9,0,0,3
1,53,13,0,1,1
1,85,4,1300,0,3
0,36,8,13000,0,2
0,46,11,42000,0,3
1,58,3,0,1,2
1,67,11,17500,1,1
0,18,7,0,0,1
0,29,11,43400,1,4
0,49,9,20000,1,1
1,57,12,28300,1,1
1,19,11,7000,0,4
1,70,8,8100,0,1
1,87,2,7200,0,2
0,28,13,33000,0,4
1,28,5,0,1,1
0,49,10,112000,0,3
0,78,5,0,1,1
1,23,11,15000,0,4
1,27,9,20000,1,2
1,93,8,184000,0,1
0,58,15,20000,1,4
0,26,11,30000,0,1
0,26,13,50050,0,4
0,28,10,53000,1,2
0,51,13,72350,1,1
1,38,12,15000,0,1
1,62,13,17400,1,1
0,46,13,326100,1,1
0,62,13,45000,0,1
1,69,4,4900,1,1
1,59,12,12800,0,1
0,39,11,90000,1,1
1,29,10,15000,1,1
1,25,13,32000,0,4
1,20,6,0,0,1
1,37,13,15600,1,1
0,23,11,32000,0,2
1,67,13,21300,0,1
1,83,4,11200,0,2
1,29,5,12000,1,2
0,70,11,40,0,1
1,50,8,15000,0,1
1,47,16,251370,1,1
0,37,9,16400,0,2
1,35,4,15000,1,2
1,35,8,30000,0,2
1,67,12,8200,1,4
1,32,13,0,1,1
1,34,9,21300,0,1
0,49,11,28800,1,1
0,29,13,42000,1,1
0,18,6,4000,0,1
1,61,10,35000,0,3
1,43,9,40300,0,3
0,50,13,39050,0,1
1,82,5,0,0,2
1,76,11,14440,0,1
0,70,8,6700,1,1
0,24,12,1300,0,3
0,23,11,13000,0,3
0,60,1,28000,0,2
1,53,13,77620,0,4
1,45,11,13900,0,1
1,72,9,7710,1,1
0,59,9,16300,0,1
1,35,5,0,1,2
0,19,11,7400,0,4
0,50,13,22000,1,1
0,65,11,69600,0,1
0,59,2,5200,1,2
0,33,15,0,1,1
1,40,1,0,0,1
1,39,11,13800,1,1
0,71,8,0,0,1
0,21,8,0,0,2
1,62,9,1540,0,1
1,19,8,600,0,2
1,48,14,25100,1,4
0,49,13,62770,1,1
1,44,13,8000,0,1
0,32,14,325000,1,1
1,19,10,580,0,1
1,59,13,2800,0,3
1,42,9,54000,0,2
1,53,14,1200,1,1
0,22,10,0,0,2
0,88,4,23700,0,1
1,39,11,9000,1,3
1,32,12,26400,1,1
0,18,7,200,0,4
0,53,11,27000,0,1
0,58,9,90460,1,1
0,75,11,50200,1,1
0,28,4,12000,1,2
1,57,12,37000,1,1
1,41,9,2300,1,4
0,38,9,24000,1,2
1,26,13,27800,0,1
0,44,9,0,1,3
1,30,11,24000,1,3
1,39,14,0,1,1
0,74,7,63200,0,1
1,53,1,0,1,2
0,33,3,12010,1,2
0,40,9,8300,0,3
1,37,5,0,1,2
1,32,11,0,1,1
0,30,9,28800,1,2
1,25,11,15600,0,2
1,30,13,85000,0,1
1,32,5,16000,1,2
0,27,5,12500,1,2
1,40,13,41300,0,1
0,35,13,75000,1,1
0,50,11,60000,1,1
0,39,13,60000,1,4
1,48,11,4800,0,1
1,53,9,0,1,1
1,34,12,40000,0,3
0,76,9,54000,1,1
1,24,11,157000,0,4
1,28,9,9900,0,3
1,56,9,19600,0,1
0,54,12,41000,1,1
0,63,9,78400,1,1
1,57,11,20300,0,1
0,56,9,35700,1,2
1,72,11,18700,0,1
0,24,9,11800,0,1
0,44,13,87300,1,1
1,25,9,33000,1,4
1,27,11,19400,0,1
0,46,1,16800,1,2
1,35,12,59000,0,1
0,25,8,1e+05,0,1
0,28,12,0,1,4
0,50,16,87700,1,1
0,70,4,8300,0,1
1,42,3,15000,1,2
1,24,13,20000,0,1
0,46,5,90000,1,1
0,37,4,25000,0,1
0,68,2,2000,0,2
1,40,11,9000,1,1
1,51,11,0,0,1
1,79,9,10400,1,1
0,30,10,45040,0,1
1,42,3,4700,0,2
0,24,3,21600,0,2
0,40,9,15000,1,1
0,31,11,55000,1,1
1,36,2,0,1,2
0,37,13,77000,1,1
1,47,1,7200,1,1
0,23,12,6500,0,2
1,58,12,0,1,1
1,77,14,12400,0,1
0,39,6,0,1,2
0,36,10,55000,0,1
0,34,3,0,1,2
0,72,2,13400,1,2
1,30,9,2000,0,1
0,51,13,75000,1,1
1,70,5,6300,1,1
1,69,11,4800,1,1
0,55,11,107000,0,1
0,54,9,32000,1,2
0,82,9,53200,0,1
1,26,13,6500,0,4
0,39,13,18000,1,4
0,31,9,0,0,4
1,31,12,30000,1,4
0,63,9,11700,1,2
0,66,14,29800,1,4
0,29,9,0,0,3
0,36,15,41110,1,1
1,80,8,8400,0,1
0,20,9,10000,0,2
1,50,14,50370,1,1
0,56,13,144000,1,4
1,19,9,10000,0,4
0,46,13,62500,1,2
1,28,9,25000,0,1
0,68,14,18300,1,1
1,40,11,31900,1,1
0,38,12,72000,1,1
1,46,10,137000,0,1
1,73,3,7900,0,4
1,41,9,38300,1,1
0,22,11,590,0,1
0,47,13,76000,1,1
1,43,10,45000,1,2
1,19,10,1100,1,3
1,62,13,8100,0,1
1,26,9,30000,0,3
0,39,9,50000,0,1
1,61,14,27540,1,1
1,56,10,17000,0,2
1,61,10,1750,0,1
1,64,13,16330,1,1
0,73,16,199500,1,1
0,53,9,325000,1,1
1,38,13,67400,1,1
0,23,9,10000,0,1
1,66,14,33600,0,1
0,23,8,12000,1,2
0,27,10,30000,0,1
1,43,13,11000,1,1
1,83,10,7250,1,1
0,39,10,30000,1,4
1,36,13,0,1,1
0,54,3,0,0,2
0,21,11,19800,0,4
0,69,14,22000,0,1
0,60,13,79500,1,4
0,61,12,19000,1,1
0,21,8,0,0,2
1,45,6,0,1,1
0,38,11,8000,0,2
1,68,11,0,0,3
1,39,9,30,0,1
1,20,9,12000,0,3
0,23,11,9600,0,2
1,35,9,13000,0,1
1,21,9,1900,0,2
1,43,5,0,0,3
1,61,9,20000,1,2
1,46,9,10000,1,1
0,33,14,60000,1,1
1,45,14,110000,1,1
0,21,10,13800,0,2
1,20,3,500,0,2
1,54,11,27000,1,1
0,47,14,150000,1,2
1,64,10,4500,1,2
0,46,12,85000,1,1
0,59,11,0,0,1
1,79,9,0,0,2
0,43,10,45000,1,1
1,38,11,11600,0,2
1,53,13,38500,0,1
1,19,9,6500,0,1
0,65,13,40500,1,1
0,27,9,20000,1,1
0,27,13,30020,1,1
1,23,13,0,0,1
1,80,12,29900,0,1
1,71,11,49300,0,2
0,28,5,16400,1,2
0,58,9,3900,1,2
0,62,3,8900,0,2
1,29,11,18000,0,1
0,22,9,20000,1,2
0,36,10,13100,0,1
0,35,2,15000,1,2
0,64,12,35190,0,1
1,43,14,0,1,4
1,57,10,27600,0,1
1,27,11,12100,0,3
0,26,11,32000,1,1
1,47,6,1600,0,2
0,75,5,34600,1,1
1,42,9,4000,0,4
0,19,9,5300,0,1
0,75,3,13900,1,4
1,39,3,0,0,2
0,27,3,3600,0,2
1,46,3,0,0,2
0,18,9,7680,0,1
1,34,10,23500,0,1
1,50,9,1000,1,1
0,42,9,28650,1,1
0,51,11,11100,1,2
1,71,9,4000,1,1
1,22,11,9300,0,2
0,37,14,35000,1,1
1,58,16,4700,0,2
1,36,7,6600,1,2
1,38,9,16000,0,2
0,31,9,12600,1,2
0,32,3,14000,1,2
0,49,11,40000,1,1
0,57,14,55200,0,1
1,39,13,11800,1,1
1,40,8,28000,1,1
0,39,9,40000,1,1
1,40,10,34100,1,1
1,57,10,0,1,1
1,42,11,44000,1,1
1,79,12,7200,1,1
1,34,10,40600,1,2
0,31,12,40000,1,4
0,24,9,34600,1,1
1,67,14,0,0,2
0,73,11,44200,1,1
1,29,9,49000,1,1
1,34,9,2600,1,1
1,35,4,10800,0,2
1,43,8,11200,1,4
0,24,9,16800,1,2
1,36,6,23000,1,1
0,39,11,24000,1,2
1,83,9,8300,0,4
0,20,8,20000,0,2
1,41,10,5000,1,1
0,45,14,180000,0,1
0,65,14,117700,0,1
1,64,10,79800,0,1
0,41,12,21000,1,2
0,60,9,3170,1,1
0,32,11,95000,0,2
0,50,14,163000,0,1
1,29,3,3200,1,2
0,50,9,70000,1,1
1,51,12,18000,1,3
0,35,14,50840,0,1
1,50,4,11000,1,2
1,54,9,3000,1,1
1,33,3,10000,1,2
1,74,8,9000,1,1
1,23,13,13000,0,2
1,46,3,980,1,2
1,37,11,0,0,2
0,62,12,11500,1,4
0,18,7,400,0,1
0,33,9,26000,0,1
1,22,11,10000,0,4
0,25,5,21000,1,2
0,43,11,75400,0,1
0,49,13,76000,1,1
1,74,9,0,1,1
0,72,8,9400,1,1
0,35,11,21200,1,1
1,46,5,31000,0,2
0,46,15,325000,1,1
1,50,9,13700,0,1
0,78,14,72000,1,1
1,67,2,4000,0,1
1,36,3,12000,1,2
0,49,11,23800,1,1
1,30,9,1000,0,2
0,30,9,20000,0,2
0,76,13,16800,0,1
0,23,7,5000,0,2
1,39,9,14000,0,1
1,47,9,30000,1,4
0,52,9,1500,0,1
1,47,11,24500,1,1
0,45,16,58600,1,1
1,25,11,200,1,1
1,49,13,137000,1,1
1,31,12,0,1,1
1,24,10,9000,0,1
0,34,1,10000,0,2
0,24,9,20000,0,2
0,70,15,97000,1,1
1,34,10,20000,0,1
1,61,10,6000,0,1
1,51,12,25000,0,1
1,60,13,15600,1,1
0,30,13,57000,1,4
0,32,9,12300,1,2
1,40,13,49240,0,1
1,25,1,10400,1,2
0,45,14,282000,1,1
1,71,13,8100,0,1
0,32,1,83000,1,2
0,36,9,48000,0,1
1,48,12,17200,0,1
0,54,8,0,1,3
1,52,13,50000,1,1
1,76,2,7800,1,2
1,40,2,460,1,2
0,71,16,47400,1,1
0,20,9,15000,0,1
0,46,11,13300,1,3
0,62,1,15000,1,2
0,53,10,18000,1,4
0,26,11,67500,1,2
1,29,10,18900,0,2
1,52,13,19500,0,4
0,38,11,19020,0,1
0,37,4,90000,0,1
1,93,13,149500,0,1
1,32,9,0,1,4
0,41,4,31800,0,2
1,35,13,1000,1,1
0,42,13,80000,1,1
0,61,12,22000,1,1
1,28,10,9500,1,1
1,46,9,35000,0,2
1,83,9,12840,0,1
0,23,13,52000,0,4
0,34,4,24000,1,2
0,29,13,0,0,1
0,84,9,185000,1,1
0,61,9,23000,1,1
1,32,12,5000,0,4
1,33,11,49600,1,4
0,29,11,25000,1,3
0,28,3,24000,1,2
1,88,9,32000,0,1
1,59,7,90000,1,1
1,25,10,20000,0,3
0,27,3,15000,0,2
1,79,10,19000,0,1
0,25,7,30000,1,2
1,32,9,5900,1,2
0,24,4,17000,0,2
1,78,13,14800,0,1
0,39,3,10000,1,2
1,44,11,38500,1,1
0,43,13,70200,1,1
1,61,11,38330,0,1
0,36,11,75000,0,1
0,19,11,4800,0,4
1,30,7,25000,1,2
1,51,13,38300,1,1
0,49,13,22000,1,1
0,30,13,44200,1,1
1,33,12,25000,1,1
0,26,13,0,1,4
1,46,12,40000,1,2
1,46,11,26900,1,1
1,51,10,44100,0,1
1,47,7,0,1,2
0,51,9,45000,1,1
1,35,1,17000,0,4
0,78,10,13100,1,1
1,42,9,7900,1,1
1,43,15,45000,0,1
0,18,9,0,0,2
0,36,11,40000,1,1
1,45,11,0,1,1
0,30,9,45000,1,1
1,40,11,14000,1,3
0,70,9,8400,0,4
0,38,9,32600,1,1
0,23,9,24000,0,1
0,20,8,14000,0,2
0,56,11,50000,1,1
0,75,13,19480,0,2
1,41,11,0,0,1
1,39,12,0,1,1
0,36,9,0,0,1
1,38,11,20000,1,2
0,72,13,11350,0,1
1,20,11,6800,0,1
1,72,13,146500,0,1
0,20,11,2500,0,1
1,63,11,34300,1,1
1,50,13,52000,0,1
1,68,14,35000,1,1
0,37,9,28100,1,2
1,66,9,11400,1,1
0,32,4,18500,1,2
1,38,12,42010,0,2
1,41,4,3000,1,2
1,45,9,0,1,1
0,73,9,15600,1,1
1,32,3,13400,1,2
0,28,13,32000,0,1
1,37,11,35000,1,1
1,81,9,56200,0,1
1,77,8,11300,1,2
1,50,9,23100,0,4
0,61,15,80000,1,4
0,48,11,45000,1,4
1,42,9,32000,1,1
1,26,11,20000,1,1
0,26,9,5200,1,2
0,22,11,10000,0,1
0,22,9,4000,0,4
1,35,13,68000,1,1
1,56,11,20300,0,1
1,22,9,0,0,2
1,23,12,32640,1,1
1,66,1,6000,0,2
0,35,9,12000,0,3
0,58,7,7800,0,3
0,51,16,-10000,1,3
1,74,2,10200,0,2
1,57,14,20000,0,1
1,70,12,16290,1,4
0,67,9,27300,1,1
1,55,11,24360,0,1
0,74,11,46800,1,2
1,38,11,90300,1,1
1,20,11,7700,0,4
1,76,10,42600,1,1
0,33,9,26400,0,4
0,41,8,40000,0,4
1,23,12,9900,0,4
1,28,9,0,1,1
1,57,1,9200,0,1
1,83,9,3300,0,4
0,42,13,120000,1,1
1,29,11,11300,0,1
1,60,9,17200,1,1
1,21,11,11000,0,1
1,78,1,0,0,2
0,53,12,27000,1,4
0,19,5,0,0,4
0,56,10,7400,1,2
1,43,13,60000,0,4
0,46,12,89000,1,1
1,24,10,0,1,2
1,57,12,60000,1,4
1,22,9,3000,1,2
0,71,9,5800,0,3
1,80,9,7500,0,1
1,64,6,5700,1,1
1,41,12,49000,1,1
1,23,13,18000,1,1
0,24,1,8200,0,2
0,51,9,33000,1,1
0,54,10,73000,1,1
0,42,12,50500,0,2
1,36,6,7000,0,2
1,52,7,7900,1,4
0,19,8,11000,0,2
1,34,13,20000,0,4
0,36,10,50000,0,1
0,34,13,11300,1,2
0,46,11,10500,1,4
1,34,15,167800,0,1
0,55,10,101030,1,1
0,50,7,14100,0,1
0,27,11,21700,0,4
1,43,13,81000,1,4
1,56,16,63000,0,3
0,31,9,15000,1,2
0,40,7,16200,1,2
1,29,3,0,1,2
0,29,9,50000,1,1
0,46,11,27000,1,2
1,43,14,1000,1,1
0,48,3,37000,1,2
1,64,13,25000,1,4
0,23,10,11000,0,1
0,43,14,88300,1,4
1,36,11,35100,0,1
0,49,13,79700,0,1
1,62,1,0,1,4
1,70,4,20400,0,3
0,29,15,1e+05,0,1
1,47,9,0,1,1
0,49,11,0,1,1
1,59,2,4000,1,2
0,52,13,61000,1,1
1,56,5,18100,0,1
0,38,8,40000,1,3
1,67,14,76000,0,1
1,86,4,188400,0,1
0,55,9,9000,1,2
0,32,13,37000,1,1
0,45,11,5000,1,4
1,81,11,24000,1,1
1,71,11,42900,1,1
0,37,11,50000,1,1
0,25,11,20400,0,1
1,35,11,15000,1,2
1,82,4,12700,0,2
0,28,11,21500,0,4
0,50,9,17700,1,1
0,35,15,132000,1,3
1,54,11,60000,0,1
1,47,13,23400,1,4
0,34,3,24000,1,2
0,40,11,40000,0,1
1,51,9,28000,0,1
1,30,11,0,1,1
1,38,13,0,1,1
1,18,7,800,1,4
1,21,11,14000,0,1
0,47,10,200,1,3
1,56,12,33000,0,1
1,34,12,27300,1,1
0,67,13,126600,1,1
0,31,13,38000,1,2
1,31,3,4970,0,2
1,18,10,1204,1,1
1,59,4,0,1,2
0,41,10,40000,0,1
1,51,14,60000,1,4
0,80,4,3100,0,3
0,79,6,14800,1,1
0,33,13,9400,0,1
1,76,9,40500,1,1
1,32,9,30000,1,2
0,21,11,4900,0,1
1,25,9,19200,1,1
1,42,12,23700,0,4
1,45,11,61000,1,1
1,55,9,4000,1,1
1,33,10,21400,0,1
0,26,13,25000,1,2
1,29,4,10000,0,2
0,28,7,0,0,3
1,50,11,32000,1,1
0,41,9,48000,1,2
1,18,7,0,1,1
0,19,9,1000,0,4
0,34,11,31300,1,1
0,75,9,41000,0,1
1,70,10,7500,1,1
1,42,13,13600,0,1
1,46,9,0,1,1
1,33,10,12000,1,2
1,21,11,9300,0,3
1,48,11,32100,1,1
1,75,11,7000,1,1
0,26,9,30000,0,3
0,63,9,4200,1,1
0,31,4,13000,1,2
0,81,10,160800,1,1
0,46,9,22000,0,4
0,47,8,500,1,3
0,39,8,25300,1,2
0,70,10,14600,1,1
0,31,14,74010,1,1
1,37,14,325000,1,1
0,20,11,0,0,4
1,41,9,5000,1,2
0,33,8,9900,0,1
0,81,13,24400,1,1
1,44,12,73000,0,1
0,25,7,10000,0,2
1,46,12,40000,1,1
0,29,14,42000,0,1
1,29,13,38000,1,1
0,30,2,10000,1,2
1,28,13,36000,0,2
0,39,5,10000,1,2
0,68,14,61000,1,1
1,32,13,0,1,1
1,36,9,35000,0,2
0,80,9,31500,1,1
1,59,14,1500,1,1
1,48,13,9380,0,3
0,43,12,40600,1,1
0,28,9,55000,1,2
0,43,13,60000,0,1
1,29,12,0,1,1
0,69,2,16700,0,3
1,69,9,144600,1,4
0,26,12,22000,0,4
0,78,10,29200,1,1
1,26,13,117000,0,4
0,36,9,10000,0,1
0,43,9,50000,1,1
0,23,9,13000,1,1
1,39,13,70050,1,1
1,58,9,9300,1,1
1,32,9,2000,1,2
0,25,11,75000,1,1
0,54,13,120400,1,4
0,63,14,275750,1,1
1,45,4,0,0,2
0,20,9,3000,0,1
0,19,9,14000,0,2
0,31,10,36000,0,3
0,61,11,1500,1,1
0,27,12,27300,0,4
1,48,12,500,1,1
1,35,10,2000,1,1
1,78,9,14000,1,4
1,52,8,2000,1,2
1,67,12,11000,0,4
0,59,9,26000,1,1
0,18,9,2600,0,2
0,82,7,12000,1,1
0,27,5,0,1,2
0,25,11,16500,0,1
0,20,8,0,0,2
1,32,13,29600,0,3
0,74,11,17000,1,1
1,66,11,0,0,4
0,31,11,54000,1,1
0,25,11,15000,0,1
1,59,13,63000,1,4
1,52,9,50800,1,1
0,30,8,20000,1,2
0,27,14,0,1,4
0,60,13,33800,0,1
0,41,12,32000,1,4
1,48,10,32000,0,3
0,29,9,13000,1,2
0,38,11,84000,1,1
1,46,11,25000,1,1
